lfdn;country;copcvdis;ctpcvdis17
1860;1;Gegen vorhandene Gesetze verstoßen, auffällig werden;-66
1871;1;-66;-66
1875;1;-66;"um, unabhängig von der allgemein herrschenden politische meinung, die möglichkeit einer politischen äußerung, wenn nötig auch auf grundlage ""unrechtmäßiger"" handlungen, zu haben."
1878;1;-66;-99
1884;1;Weiß ich nicht, vllt sich nicht an Weisungen/Gesetze halten;-66
1886;1;-66;Man muss es als Regierung zulassen, dass unzufriedene Bürger ihre Meinung öffentlich äußern
1887;1;Bei falschen Entscheidungen der Behörden sollten die Bürger auf der Basis des Grundgestzes zivilen Ungehorsam leisten.;-66
1888;1;Demonstrationen, Unterschriftenaktionen;-66
1889;1;-66;-66
1890;1;"Protest gegenüber Regierungsentscheidungen. Demonstrationsrecht nutzen auch kommunal, an Unterschriftenaktionen teilnehmen,
Schriftlichen Protest direkt an den Bundestag richten,";-66
1891;1;-66;"In der jetzigen Zeit ist ziviler Ungehorsam leider negativ belastet. Entscheidungen, welche in der Politik lange gefällt wurden, werden so immer wieder und vor allem häufiger beeinflußt. Der ""Zeitgeist"" spielt eine große zentrale Rolle."
1894;1;-66;Eine problematische Sache! Wo hört ziviler Ungehorsam auf und beginnt Anarchie? Oft ist es wohl so, daß die Bürger die Motivation und Hintergründe bestimmter Entscheidungen nicht durchschauen und rein gefühlsmäßig entscheiden. Dies könnte leicht im Chaos enden.
1900;1;-99;-66
1901;1;demos, subculture things, watt manipulieren, anketten...;-66
1903;1;-66;Bürger sind davon mit am meisten betroffen deshalb halte ich es für wichtig, aber für eine 7 hat es nicht gereicht da ich denke das es wichtigere Dinge gibt.
1907;1;-66;-99
1918;1;-66;-66
1920;1;Ich verbinde damit das Bürger auch mal Geldende Normen und Gesetze Überschreiten sollten wenn sie sich vom Verhalten der Politiker hintergangen fühlen;-66
1922;1;-66;"Weil die Regierung nicht davor gefeilt ist, falsche Entscheidungen zu treffen. Ebenso kann eine Regierung korrumpiert worden sein, will sagen nicht mehr ihrem Gewissen und dem Wohl der Wähler folgend handelnd sein. Und wenn der Bürger das erkennt, so es denn ist, sollte er sehr wohl die Möglichkeit haben, mit zivilem Ungehorsam dagegen zu protestieren.
Der Weg vors Gericht ist eine kostspielige und zeitintensive Sache, die in der Form nicht von jedem Bürger uneingeschränkt wahrgenommen werden kann, eben aufgrund der Hürden, wie Zeit und Kosten, die sich einem dort auftun."
1924;1;-66;darum
1925;1;-;-66
1930;1;Proteste, Petitionen, gewaltfreie Blockaden  (KEINE Sachbeschädigung oder Bedrohung der Gesundheit von Menschen!);-66
1933;1;-66;Damit nicht eine Partei gewählt wird sie uns viel versprechen und nichts einhalten von dem was sie gesagt haben. Für leere versprechungen sollte di jenige Partei abgewählt werden vor allem unsere jetzige Regierung. Dieses verlogene Pack....
1952;1;"unbequem sein, Sand ins Getriebe streuen,
aus Gewissensgründen und gewaltfrei vollzogener bewusster Verstoß gegen ein Gesetz, Die Aktion oder Handlung

    * beruht auf einer Gewissensentscheidung
    * ist wohlbedacht
    * steht im Zusammenhang mit dem übergeordneten Ziel
    * wird nicht verheimlicht (häufig sogar angekündigt)
    * verletzt niemals die Würde des Menschen .
Der breite und ausdauernde Protest gegen Stuttgart 21
";-66
1956;1;-66;-
1960;1;-66;-66
1969;1;-66;jbhlgjbhl
1979;1;unrechtmäßiges tun z.B. mit Gewalt seine Meinung durchsetzen;-66
1985;1;ziviler Ungehorsam ist, dass man seine eigene wörte sagen könnte wenn man am diskussion mit dem Politiker/Bürger;-66
1993;1;-66;Solange es im Rahmen bleibt sollte jeder das Recht haben gegen Entscheidungen des Staates vorzugehen, z.B. durch Demonstrationen etc.
1995;1;z.b bei der Bundeswehr;-66
1999;1;keine ahnung;-66
2002;1;"Aufstand
Kravalle";-66
2014;1;wenn ein Bürgerentscheid komplett von der politik missachtet wird;-66
2019;1;-66;-99
2036;1;Wenn man nicht das macht was der staat sagt;-66
2040;1;-66;-66
2041;1;will ich nichts zu sagen.;-66
2044;1;-;-66
2048;1;Die Entscheidungen der Politik sind nicht immer nachzuvollziehen und stimmen mit der eigenen Meinung nicht überein. Dies soll und muss man sagen dürfen.;-66
2054;1;-66;ziviler Ungehorsam gehört dazu, sollte aber als Druckmittel nicht verwendet werden
2058;1;"Streik
Demo";-66
2059;1;-66;Was soll diese Frage????
2066;1;"mit zivilen Ungehorsam können Bürger gegen etwas demonstrieren, dass ihnen eine Entscheidung oder etwas Bestehendes nicht passt und so der ""Obrigkeit"" zeigen, dass Veränderungen nötig sind
- die Demos gegen ""Stuttgart 21"" (?)";-66
2068;1;-66;gut
2070;1;üp+;-66
2071;1;-66;Selbstbestimmungsrecht
2073;1;z.b. gegen das gesetz verstossen !;-66
2079;1;...;-66
2083;1;-66;-66
2087;1;Ich verbinde mit diesem Begriff, Widerstand gegen die Staatsgewalt. Das heißt, dass sich die Bürger nicht alles gefallen lassen sollten.;-66
2088;1;-66;-66
2094;1;"fällt mir jetzt nichts ein
";-66
2095;1;"Sitzblockaden, Blockaden allgemein, spontane Demonstrationen
";-66
2096;1;-66;Wenn alle Kontrollinstanzen versagen, ist es notwendig, dass der Bürger eingreift.
2098;1;-66;"oftmals bleibt nur dies als letztes Mittel, da sich sonst nichts oder viel zu langsam etwas
bewegt."
2102;1;-66;-66
2103;1;sich gegen das wenden was Regierung beschließt bzw. beschließen will z.b. in Fom von Demos ;-66
2106;1;-66;"Da Entscheidungen der Regierung meist mit fehlender Transparenz und Begründung getroffen werden (hauptsächlich Regional) ist es gut das der Bürger sich mit dem Mittel
des friedlichen zivilen Ungehorsams wehren kann. Dieses sehr beschränkte Recht ist
eigentlich das einzige wie sich gleichgesinnte Menschen zu Wort melden können."
2109;1;Demonstrationen und Streik;-66
2117;1;Streik, Volksbegehren, pp.;-66
2118;1;-66;damit die Regierung auch sieht was sie falsch macht bzw wie es nicht gehen kann
2122;1;-66;zum grade biegen von krummen dingen der politik
2123;1;-66;Intuition
2127;1;-66;-66
2128;1;-99;-66
2129;1;-66;"Was von Politikern entschieden wird entspricht wenig dem, was ""das Volk"" will - selbst wenn man den Anteil derer hineinrechnet, der den Politiker oder dessen Partei gewählt hat. Es ist allzu menschlich, ist man erst mal in der Position, eine gewisse Macht ausüben zu können, die guten Vorsätze - und leider auch die Menschen, die einen dahin gebracht haben, wo man ist - zu vergessen."
2131;1;-66;Eine solche Maßnahme halte ich nicht für angebracht, gut wenn ich als Bürger meinen Unmut über das eine oder andere Vorhaben äußern kann
2132;1;Ich weiß nicht, was das bedeutet und kann die Frage deshalb nicht beantworten.;-66
2139;1;-66;-66
2144;1;-66;manche entscheidungen sind dämlich wo man nicht immer folgen sollte, allerdings gibt es einschränkungen, da der staat seine macht nicht verlieren sollte. trifft er die richtigen entscheidungen, sollte es auch keinen ungehorsam geben (allerdings ist das sehr schwierig da es eine reine ansichtssache ist, ob etwas gut oder schlecht ist!)
2145;1;-66;"Es ist sicher nicht sinnvoll alles in Frage zu stellen, was in der Politik gemacht wird, da die meisten Bürger die komplexen Sachverhalte nicht verstehen, bzw. nur ein gefährliches halbwissen haben und sich durch die Medien manipulieren lassen.
Andererseits müssen die Politiker auch merken, wenn sie komplett gegen die Meinung der Bevölkerung arbeitet und dafür ist ziviler Ungehorsam die aufmerksamkeitseregendste Maßnahme!"
2150;1;-99;-66
2151;1;kann ich nicht genau sagen;-66
2152;1;Steuerverweigerung, Sitzblockaden;-66
2157;1;-66;Ziviler Ungehorsam muss ein Teil der Demokratie sein.
2160;1;-66;hjkhj
2163;1;-66;xx
2167;1;das man nicht alle Entscheidungen der Regierung wortlos hin nimmt, sondern dagegen vorgehen kann.;-66
2169;1;-66;-99
2175;1;-66;-99
2186;1;-66;-66
2212;1;-66;Jeder Mensch hat das Recht eigene Endscheidungen zu treffen, man kann nicht alles vorschreiben und erwarten das die Bürger wie dumme Lämmer alles akzeptieren was man ihnen vorschreibt.
2224;1;-66;die bürger sollen auf jeden fall bei wichtigen entscheidungen ein mitsprachrecht haben
2250;1;-66;-66
2256;1;-66;-99
2392;1;Bürgerbegehren, Demonstrationen,;-66
2415;1;-66;-66
2456;1;Demonstrationen sind für mich ein zu harmloses Beispiel, gerade auch weil sie legitim sind. Allerdings gibt es auhc da Ausnahmen, wie die Demos der Rechtsextrimisten und Nazis (zB Dresden). Ziviler ungehorsam sind für mich im Grunde Auseinandersetzungen mit dem Saat, die nciht mit dem Gesetzt oder nur schwer damit vereinbar sind.;-66
2457;1;-66;auch wenn einem strafe droht, sollte man nicht davor zurückschrecken zu sagen was man denkt, dabei ist jedes mittel recht, solange es nicht die freiheit eines anderen einschränkt
2548;1;-66;"Politik hat in unserem Land meist wenig mit Interessen des Volkes, also des ""einfachen"" Bürgers zu tun. Die großen Entscheidungen werden wohl eher zum Vorteil der Volkswirtschaft gefällt. Siehe Atomausstieg-ausstieg."
2559;1;-66;-66
2574;1;"recht auf meinungsäusserung
demo";-66
2578;1;-66;"s. Bsp. ""Stuttgart 21"""
2581;1;"Ziviler Ungehorsam ist der aus Gewissensgründen und gewaltfrei vollzogene bewusste Verstoß gegen ein Gesetz eine Pflicht oder den Befehl eines Staates oder einer anderen Macht . Im Gegensatz zu einem Streik ist er nicht rechtlich abgesichert der Ungehorsame nimmt bewusst in Kauf dafür bestraft zu werden. 

";-66
2593;1;Wenn die Bürger z.B. ihr Demonstrationsrecht wahrnehmen, Streiks, Anfragen an Parlamente;-66
2601;1;"Ich verbinde mit dem Begriff ""ziviler Ungehorsam"" zB Streiks, Proteste oder Klagen gegen die Regierung.";-66
2605;1;mm;-66
2671;1;Protestaktionen, Demonstartionen;-66
2992;1;-66;nichts
3132;1;Demonstrationen;-66
3157;1;Wenn die regierungen in Land oder Bund Entscheidungen treffen, die von der Masse der bvölkerung abgelehnt werden. Beispiel für mich ist der Ausstieg aus dem Atomausstieg und ich halte hier zivilen Ungehorsam für berechtigt und legitim;-66
3240;1;das sie die Regierungsentscheidungen kritisieren können;-66
3267;1;"stuttgart 21
atommüll endlager
herbst 89 in der ddr";-66
3268;1;-66;-66
3478;1;Macht nur keiner von den Deutschen, sonst wäre die Rente mit 67 nicht durchgekommen oder Benzin wäre billiger...und so weiter.;-66
3491;1;-66;bringt alle voran
3508;1;"Eine von der mehrheitlichen politischen Meinung abweichende Meinung mit gewaltlosen Mitteln zu vertreten bzw. durch politische Mehrheiten getroffene Entscheidungen aufgrund einer abweichenden Meinung zu missachten, ohne dabei wissentlich anderen zu schaden.
Bsp: Stuttgart 21, Verweigerung der Räumung von Gehwegen durch Hausbesitzer unmittelbar nach Schnee-Ereignissen jederzeit zwischen 7 und 20 Uhr";-66
3514;1;stuttgarter bahnhof;-66
3519;1;-66;ziviler Ungehorsam ist ein Teil der Freiheit
3550;1;-99;-66
3597;1;-66;weil es auch Probleme gibt die erst am volk vorbei geschmuggelt werden und sich dann entfslten ion ihrer ganzen Fehlfunktion
3600;1;gegen die Machenschaften der Bonzen sich aufzulehnen;-66
3672;1;In einigen Fällen sollte das Volk mit entscheiden. Z. B. Kernkraftverlängerung, Umbau des Bahnhofes in Stuttgart, Verschandelung der Landschaft durch Windkrafträder, Einsatz von Armee in Kriegsgebieten;-66
3810;1;wenn man sich gegen entscheidungen von behörden wehrt;-66
4153;1;-66;-99
4248;1;-66;"...das Recht zum zivilen Ungehorsam ist wichtig; die Möglichkeit, einige andere Rechte ausüben zu können, dürfte aber wichtiger sein..."
4307;1;-66;als bürger hatt man su gut wie keinen einfluss daswegen
4367;1;geld;-66
4428;1;Wenn gegen demokrtaisch gewählte Politikerentscheidungen von Minderheiten demonstriert wird,;-66
4857;1;Proteste gegen Castor-Transporte, Protest gegen Stuttgart 21, Anti-Atom-Demos;-66
5205;1;-66;wie definiere ich Ungehorsam, Zuwiderhandeln oder zum Aufruhr aufrufen, da wäre ich dagegen. Doch ich möchte keine unsauberen Entscheidungen mittragen und Mitspracherecht haben und mich wehren können. Eine Regierung wird von Bürgern gewählt und sollte auch in ihrem Sinne handeln, ansonsten gehören sie abgewählt.
5272;1;-99;-66
5769;1;-66;Es gibt andere Mittel um zu zeigen, dass man mit Entscheidungen der Regierung nicht zufrieden ist.
6154;1;-66;-66
6166;1;streiks, demos, bürgerkriege;-66
6171;1;-66;es muss alles in einem gemessenen rahmen bleiben...gewalt ist nie eine lösung
7619;1;Politiker stehen im Licht der Öffentlichkeit. Sie haben daher eine Art Vorbildwirkung und solllten sich deshalb auch vorbildlich und vor allem entsprechend ihrer eigenen politischen Forderungen bewegen. Auch und vor allem in ihrem Privatleben!!!;-66
7768;1;weiß nicht;-66
7784;1;wenn sich menschen gegen das gesetz wenden... bzw. sich ihre eigenen regeln bilden;-66
8192;1;ich weiss damit absolut nichts anzufangen;-66
9241;1;-66;-99
9359;1;Verstoß des Bürgers gegen Regeln des Staates um seine Unzufriedenheit zu zeigen.;-66
9558;1;Demonstrationen;-66
9720;1;weiß nicht;-66
9760;1;-66;-66
9930;1;-66;-66
9991;1;-66;"Wir leben in einer""angeblichen"" Demokratie.Das Volk sollte hiermehr mitbestimmen könnenbei Regierungsentscheidungen,nicht nur über die Wahlen.
Regierungspolitik ist sehr oft gegen das Volk gerichtet und wird unglaubwürdig."
10110;1;keine erklärung;-66
10140;1;-66;-66
10711;1;-66;"bürger werden für alles bestraft aber die da ganz oben sitzen und sich keinen fehler erlauben dürfen kommen davon und das ist sicherlich nicht gerecht
"
10979;1;-99;-66
11296;1;-;-66
12250;1;-66;dsfsdf
12266;1;-66;sdagadfgasdfg
12272;1;-66;Weil Politiker so oft gegen das Volk eintscheidet.
12288;1;scheinehe ect;-66
12299;1;-66;-66
12325;1;Kriminalität;-66
12326;1;-66;weil wir mit in die Entscheidungen einbezogen werden müssen, damit nicht immer alles zugunsten der Politiker entschieden wird
12333;1;fällt mir grad nichts ein....;-66
12344;1;mit zivilen Ungehorsam verbinde ich Menschen die zum Beispiel einen Ladendiebstahl begangen haben;-66
12345;1;-66;die Bürger würden einiges anders Entscheiden, und vielleicht auch anders handeln
12409;1;"kann es mir nur so vorstellen, das es sogemeint ist:
- nee kann ich leider nicht erklären";-66
12410;1;sich nicht an allgemeine rechte und normen zu halten. Sich nicht entprechend zu verhalten.;-66
12420;1;-66;-
12425;1;das wir mit Streiks etc. angehen können;-66
12437;1;straftaten im umgang mit menschen ;-66
12454;1;-66;-66
12457;1;sex;-66
12459;1;-66;wees net
12461;1;-66;-99
12468;1;-66;Da die Gewalt vom Volke ausgeht und es dies auch zeigen muss, wenn es um größere politische Angelegenheiten geht, z.B. Stuttgart 21.
12469;1;-66;Ich finde es wichtig weil die Politik über die Köpfe der Bürger alles frei weg entscheidet. Es ist ungerecht das ein Mittelverdiener immer weniger Geld raus hat Jahr für Jahr als ein viel verdiener. Es sollte alles angepasst werden vond er Ppolitik aus. Und der Bürger sollte halt da Mitreden dürfen
12471;1;ziviler ungehorsam _ bedeutet für mich - gegen grundlegende Regeln gegenüber dem Staat, Politik... zu verstoßen. Das finde ich nur in gewissem Maße richtig. Man sollte seine Meinung kund geben und dafür einstehen. Aber wie gesagt, nur in einem gewissen Rahmen also beispiels das kein Mensch zu schaden kommt, Konflikte nicht ausarten etc.;-66
12479;1;Weiß nicht, kenne den Begriff nicht;-66
12487;1;-66;-66
12489;1;-66;weil ich finde das Bürger das Recht dazu haben
12495;1;-99;-66
12518;1;-66;0
12519;1;na das si8e sagen wenn ihnen wass n8icht passt! durch eingaben proteste kundgebungen aber nie mit gewalt;-66
12527;1;-66;-66
12546;1;Zivieler Ungehorsam ist denke ich schon eine Demonstation.;-66
12548;1;möchte ich nichts zu sagen;-66
12551;1;-66;-99
12553;1;-66;-66
12569;1;Juge Menschen sind böhser und Ungehorsam gegen Alte Menschen.;-66
12577;1;-66;Wir haben ja keine Möglichkeit einzugreifen wenn etwas nicht nach unserem Interesse geschieht, von daher wäre es schon gut
12580;1;keine Ahnung;-66
12581;1;"nicht für die gesellschaft
";-66
12597;1;-66;-66
12599;1;-66;-66
12610;1;"mhm keine ahnung
";-66
12611;1;gesetzeswidriges Verhalten;-66
12932;1;-66;-66
2184;2;dsdsadds;-66
2281;2;rebelling, holding strikes or protests;-66
2298;2;sit ins,nonviolent protests,some targeted remarks or barbs aimed at a politician without hatred or bias...i can remember a little of the watts riots from what my family showed me.;-66
2306;2;-66;people should not be allowed to break the law to oppose government. if it's done in a peaceful, civil way...go for it. 
2336;2;marching and posting signs when things are being done that are not right or fair.  Just because someone is voted into office doesn't not make them untouchable.  People should be able to say their points of view no matter what even if we don't agree with them.  That's why we are Americans and are able to say what we want.;-66
2374;2;a peaceful disagreement over the policies of others;-66
2377;2;protests, sit-ins, etc.;-66
2416;2;-66;-66
2439;2;-66;-66
2451;2;-66;-66
2452;2;-99;-66
2459;2;-66;It depends on how serious the act of civil disobedience is and whether it is proportional to the action being opposed. There is not an unlimited right to take the law into your own hands.
2466;2;-66;I don't think acts of civil disobedience are necessary.
2470;2;-66;I dont think people should break the laws just because they dont agree with government decisions
2479;2;-66;They have a right to picket
2621;2;-66;-66
2676;2;-66;-66
2678;2;-66;they should not act out at all. violence is not the answer and will not get you anywhere except in jail
2679;2;N/A;-66
2680;2;-66;we are a society of laws!  we have procedures in place to air our grievances and they should be used before we break the law.
2681;2;"Civil Disobedience is a must to the democratic society.  The constitution guarantees our right to oppose what the government is doing, so far as to say that we can bring about a revolution if we feel the government is not protecting or doing what we as a majority believe it ought to do.  Civil Disobedience allows citizens to express their outrage, opinions, and stance on issues.  The government is SUPPOSED to listen to the PEOPLE not the special interest groups that now dominate our government and politics.  It should be a majority controlling the policies, not a minority.  But because of ""political correctness"" the majority are so afraid of the minority that now the minority get away with everything.";-66
2683;2;Civil disobedience is breaking the law.  You might not again with something but it still does not give you the right to break the law.  When protesting if you set things on fire or destroy other peoples property to get your point across.;-66
2684;2;-66;-66
2688;2;-66;It is breaking the law. I agree a person should be able to voice their opinion but that is it.
2690;2;-66;-66
2695;2;-99;-66
2698;2;-66;Peacfull protest should be protected
2699;2;-66;other ways to oppose  
2704;2;I think all should be able to VOICE their disagreement but physical act of disobedience i do not agree with;-66
2705;2;-66;thats the way it is
2706;2;-66;because people are never heard
2707;2;-66;-66
2709;2;peaceful protests;-66
2712;2;-66;-66
2713;2;Riots, picketing, violence, public displays/demonstrations;-66
2714;2;Non-violent protests;-66
2715;2;-66;ok
2716;2;Breaking the law, of which I am opposed to. Allow demonstrations should be peaceful/non-destructive.;-66
2718;2;-66;I want to see change through peaceful means
2719;2;-66;it is very important
2722;2;protests;-66
2723;2;-66;i was trying to keep it even keel.
2724;2;People have the right to disagree when they think government is making/or makes wrong decisions.;-66
2725;2;0;-66
2726;2;-66;People should have the right to stand and speak their opinions, and sometimes it is necessary for people to go to the extreme to be heard.
2727;2;-66;-99
2728;2;people taking action in their own hands;-66
2729;2;protest that ends or conveys violence;-66
2730;2;riots, violent protests and acts of aggression or mayhem;-66
2732;2;-66;dont know
2733;2;-66;Acts of civil disobedience need to be organized and non-violent.
2734;2;-66;Citizens have the right to disobey unconstitional or immoral laws, and protest and speak out legally against unjust government actions.
2739;2;-66;we need to work within the system but sometimes it does take a little more force to get the attention of the government............. make them listen  and understand.  get them out of their ivory towers and back to earth
2741;2;-66;It is wrong to rebel against authority, even if that authority is not acting responsibly.
2742;2;burning of flags, effigies of politicians, blocking traffic, etc.;-66
2743;2;-66;Everyone has a ight ti his/her opinion and the ability to protest.  this is the land of the free, which includes your right to protest, providing its done on civil basis and no harm caused.
2744;2;our government isn't at all that we expected to be...;-66
2746;2;-66;-66
2747;2;they shouldn't but have the right to do so;-66
2748;2;-66;people will cause to much disruption against others
2751;2;-66;-66
2752;2;Civil protests.;-66
2755;2;-66;Because the freedom of expression should be a fundemental right, and civil disobedience is a way of expressing an opinion that is nonviolent and highly visible. It is important to be able to speak out againt one's government without recrimination.
2758;2;Going on strike, not following orders-but in a decent fashion, contacting the government offices through phone calls, letters, faxes;-66
2759;2;-66;they can protest but hopefully in a respectful manner
2760;2;Protests (peaceful, or otherwise), riots, pickiting;-66
2762;2;-66;I don't like the term civil disobedience, and don't know what it encompasses.  In light of the shooting in Tuscon, I'm concerned about political views going too far.
2764;2;looting, anarchy, rebellion;-66
2765;2;I believe that non-violent disobedience is the only acceptable form, so that would include protesting unfair practices with marches and rallies to make sure the lawmakers were aware of the discontent.;-66
2767;2;-66;So long as the acts are nonviolent I see no problem. 
2768;2;-66;Peaceful civil disobedience is great, today many people don't seem to have a sense of community so civil disobedience often becomes violent/distructive
2769;2;-66;Maybe I misunderstand the question.  I don't believe citizens should engage in acts of civil disobedience when they oppose government actions.  We as citizens must obey the law even if we don't agree with it.  But in a democracy we can voice our opinions and beliefs in a civil way and also nominate and vote for those who agree with our beliefs and opinions in order to change government actions.
2770;2;-66;I think its ridiculous when people act out against a government decision.  It won't help, it just causes more problems.
2772;2;rallies, demonstrations, refuse to pay taxes;-66
2775;2;BREAKING RULES;-66
2776;2;Rallys, protests - groups gathering without violence to take a stand for what they believe in.  Going to or at least writing your representatives regarding matters of taxation.  Why in the US we do not have healthcare for everyone.;-66
2777;2;-66;-99
2778;2;Roits and any other means of violence;-66
2780;2;protests (whether violent or non-violent);-66
2781;2;-66;It is our right as Americans to publicly protest government actions without harm to people or property
2782;2;-66;na
2783;2;-66;-66
2786;2;sit-ins and the like, with the aim of being peacefully arrested. Or, as in the case of things happening during civil rights turmoils of the early '60's, people doing things like riding in the front seat of a bus or sitting at a lunch counter where they were, by law, not allowed.;-66
2787;2;I consider civil disobedience to be breaking a law to bring attention to one's position.;-66
2788;2;-66;That would start riots and people would get hurt and you don't want that no matter how the government is.
2790;2;-66;I don't agree that civil disobedience is an answer.
2791;2;-66;you see alot of riots when something citizens don't like what the government does.  In a way this good and in a way it is bad.
2792;2;-66;The opportunity should be there but that doesn't mean that we have to use it.
2797;2;-66;Freedom of speech is one of the foundations of good ol' America. We should be able to speak our mind if we do not agree with government.
2799;2;Protest act out in violence;-66
2800;2;just accept the answer;-66
2802;2;-66;It causes security issues for everyone else and costs us money.
2803;2;a civil war as to which i believe is just around the corner;-66
2804;2;-66;Sometimes one has to throw a rock to get a hypocrites attention
2805;2;-66;Because people should not be able to rebel because they do not agree with a decision.  You are not able to act out that way when you disagree with something and in some cases you can be punished by law for civil disobedience.  If people were allowed to act out that way regarding decisions with politics there would be civil disobedience everyday
2806;2;riot;-66
2808;2;riots, vilence, burning flags, potest marches;-66
2809;2;-66;Citizens should have the right to engage in acts of civil disobedience but it should not endanger other citizens. 
2810;2;-66;its kinda of a half half situation
2811;2;going against the laws;-66
2813;2;-66;I believe that the people need to be heard, but acting in civil disobedience is not the answer. Other ways can be used than breaking the law. If the people break the law to be heard, the government are not going to be so willing to help
2814;2;negative, disruptive, distructive actions;-66
2815;2;To protest an idea that one thinks is wrong;-66
2816;2;-66;should be able to voice opinions as to what is going on in our government
2817;2;protesting and rioting;-66
2818;2;don't think I understand the question;-66
2819;2;-66;Government should answer to their actions.
2823;2;-66;to an extent
2827;2;protest,reform;-66
2828;2;-66;"Sometimes, citizens have to let the politicians know that they are serious about their opinions. Some politicians forget that they are elected to office and think that they are empowered to know what is best. Politiciians are elected to maintain the constitution first and the will of the people second.

Their own personal preferences should be a dead last point."
2829;2;-66;2
2830;2;prganized protests;-66
2832;2;-66;-99
2833;2;-66;Just because a person doesn't agree with government they are not going to get anywhere by engaging in civil disobedience.  Instead they should find a positive way to get their feelings across
2835;2;I feel if someone is not happy with something in the government they have the right to oppose it or boycott it.;-66
2836;2;-66;-66
2837;2;violence of any kind is unacceptable for opposing opinions;-66
2839;2;-66;If people are prohibited from acts of civil disobedience then the government has ceased to serve the citizenry and has become tyrannical.
2841;2;-66;Certain dissobediance if find but only when nessarry.
2842;2;-66;na
2843;2;non violent protests, boycotts;-66
2844;2;rioting, rebellious acts, terrorist activity;-66
2847;2;-66;-66
2848;2;-66;The government does not listen very well to the public. They like to make their own decisions
2849;2;-66;-66
2851;2;-66;sometimes civil disobedience is the only way to bring attention to an issue
2852;2;agree;-66
2853;2;people need to remain respectful of property and other peoples rights and should not engage in riot type protest.;-66
2855;2;partcipating in riots to be heard.;-66
2856;2;-66;Everyone should worry about self, if the law said no loitering everyone obeying should not loiter. 
2857;2;crime;-66
2858;2;-66;I don't think it's okay to act out in a harmful manner just because you don't agree with something.  You should act a mature adult and try to do something about it rather than causing commotion.
2859;2;I think it all depends on how they are acting out.  People are allowed freedom of speech, but they shouldn't take advantage of it.;-66
2860;2;-66;i do not believe there is an excuse for civil disobedience.
2861;2;-66;Freedom of speech
2862;2;-66;When justice is ignored the people must speak loudly to be heard
2863;2;not sure;-66
2864;2;-66;-66
2865;2;"Actions of the 1960's like civil rights and anti-war protests that were entirely non violent are examples of acceptable ""civil disobedience"".  Any action that involves violence of any kind isn unacceptable and must be treated as such.";-66
2866;2;-99;-66
2867;2;protesting;-66
2868;2;-66;"if you look at ""empires"" of the past, you will see that couruption from within was their downfall. now look at how things are today. goverment officials abuse their power for their own gain. they are to busy satisfying their own needs, the needs of special interest, and no longer care for the working man. even though they are the back bone of this nation."
2869;2;Violence and durogatory statements or words.;-66
2871;2;-66;sometimes the people need to take control when the government isnt or cannot protect them. but its mostly wrong to be civilly disobedient unless there are extrenuating circumstances
2872;2;N/A;-66
2873;2;-66;"We the ""citizens"" need to voice our opinion to the government, to show them how the people feel about their choices and actions, even if it is disobedient. Freedom of speech "
2874;2;Refusal to obey civil laws that one views as unjust in a passive manner.  Example would be public protests.;-66
2876;2;Not exactly sure...if it is calm or dangerous that you are speaking of;-66
2877;2;-66;not going to happen
2878;2;Marches or gatherings that are peaceful to project contraray views;-66
2879;2;-66;it depends on the severity of the civil disobedience
2880;2;demonstrations,riots;-66
2881;2;-66;they shouls act in civil disobedience, there are proper ways to handle things
2883;2;riots, unlawfu assemblyl;-66
2884;2;-66;Because i think if we as citzens helped them get into office then we should be heard
2887;2;CAMPUS SIT INS, PROTESTING;-66
2889;2;Riots?;-66
2890;2;-66;"I think that civil disobedience is sometimes necessary to promote social change.  The actions of anti-segregation activists would be an example.  However, civil disobedience is also quite disruptive, so I won't say that it is ""very important."""
2892;2;"sit in's
gatherings to protest - silent vigil or with signs
speaking up at political gatherings or meetings
letters to the editor
leafletting - informational flyers";-66
2894;2;-66;You shouldn't break the law when you have an opinion that needs to be heard. When you do that people don't take you seriously. There are legal routes in which to get yourself heard.
2895;2;none;-66
2897;2;-66;If the government ignores your plead.
2898;2;-66;Citizens should be allowed to engage in acts of civil disobedience up to a point, but not go as far as things becoming violent.
2899;2;Rosa Parks, peaceful demonstrations, etc.;-66
2900;2;Sit-ins, public protest, non-violent public gathering.;-66
2902;2;-66;-66
2903;2;Not behaving in a civil or orderly way;-66
2904;2;Unruley actions to voice opinions;-66
2905;2;when you protest against something that you don't believe in and you get in trouble for it, such as going to jail to support a cause you believe in;-66
2906;2;picketing, forums, boycotts, petitions, marches;-66
2908;2;-66;-66
2910;2;-66;is alway important to discuss differences in a cordial atmosphere for solucions
2912;2;-66;I do not think that civil disobedience is an effective tools for making changes in policy
2913;2;-99;-66
2916;2;Protest marches and strikes.;-66
2917;2;Gatherings that get out of cotrol to prove a point.;-66
2918;2;-66;it all depends on what kind of civil disobedience is done. if it breaks the law, it shouldn't be allowed
2919;2;none;-66
2921;2;-66;because even though it worked in the past, civil disobidience could get a lot more people killed
2923;2;-66;I don't think you ought to disobey people.
2924;2;Unlawful assemblies, riots, sit-ins, or any other ways to disrupt the area's activities where it would take place.;-66
2925;2;Peaceful Protest (not that it does any good anyway. But it is a right to voice your thoughts on what you believe). ;-66
2927;2;-99;-66
2929;2;That the people have the right to oppoise decision made by the govement if they feel that the decision was unjust.;-66
2931;2;-66;n/a
